Unnamed: 0,molecule_chembl_id,smiles,processed smiles,pIC50,Smiles_Length,processed_smiles,is_orally_available
8632,CHEMBL2105420,O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,,,33,O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,TRUE
8633,CHEMBL2107431,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,,,60,C[C@]12CC[C@H]3[C$H](CCC4=CCCC[C@H]34)[C$H]1CC[C$]2(O)C#C,TRUE
8635,CHEMBL549344,CCC1=NC2=C(N1CCCCNS(C)(=O)=O)C1=CC=CC=C1N=C2N,,,45,CCC1=NC2=C(N1CCCCNS(C)(=O)=O)C1=CC=CC=C1N=C2N,TRUE
8637,CHEMBL1371770,C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,,,42,C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,TRUE
8641,CHEMBL2107723,COC1=C(OC)C=C(C(=O)NC2=NC(=CS2)C(=O)NCCN(C(C)C)C(C)C)C(O)=C1,,,60,COC1=C(OC)C=C(C(=O)NC2=NC(=CS2)C(=O)NCCN(C(C)C)C(C)C)C(O)=C1,TRUE
8643,CHEMBL2311128,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CCC(O)NC1=O,,,45,OC[C@H]1O[C@H]([C@H](O)[C$H]1O)N1CCC(O)NC1=O,TRUE
8644,CHEMBL58752,OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,,,35,OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,TRUE
8648,CHEMBL559288,NC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)N1CCCCC1,,,58,NC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)N1CCCCC1,TRUE
8650,CHEMBL1952329,CN1CCC(CNC2=NN3C(C=C2)=NC=C3C2=CC=CC(OC(F)(F)F)=C2)CC1,,,54,CN1CCC(CNC2=NN3C(C=C2)=NC=C3C2=CC=CC(OC(F)(F)F)=C2)CC1,TRUE
8652,CHEMBL2111081,CC1=C(C)[N+](CC(=O)C2=CC=CC=C2)=CS1,,,35,CC1=C(C)[N+](CC(=O)C2=CC=CC=C2)=CS1,TRUE
8653,CHEMBL3590187,[H][C@@]12CC[C@](OC(=O)CC)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,,,88,[H][C$]12CC[C@](OC(=O)CC)(C(=O)CO)[C$]1(C)CC[C$]1([H])[C$]2([H])CCC2=CC(=O)CC[C@]12C,TRUE
8658,CHEMBL2106224,NC1=NN=NN1C1=CC=CC=C1,,,21,NC1=NN=NN1C1=CC=CC=C1,TRUE
8662,CHEMBL2447938,[O-][O+]=O,,,10,[O-][O+]=O,TRUE
8664,CHEMBL1287935,CC[C@H](NC1=CC(C)=NC2=C(C(C)=NN12)C1=CC=C(OC)C=C1C)C1=NC(C)=NO1,,,63,CC[C@H](NC1=CC(C)=NC2=C(C(C)=NN12)C1=CC=C(OC)C=C1C)C1=NC(C)=NO1,TRUE
8667,CHEMBL274070,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC=C(N)C1=C3)C2=O,,,58,CC[C$]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC=C(N)C1=C3)C2=O,TRUE
8668,CHEMBL1090488,C[C@H]1CN(C[C@@H](C)[C@]1(O)C1=CC=CC=C1)C(=O)[C@@H]1CN(C[C@H]1C1=CC=C(F)C=C1F)C(C)(C)C,,,86,C[C@H]1CN(C[C$H](C)[C@]1(O)C1=CC=CC=C1)C(=O)[C$H]1CN(C[C@H]1C1=CC=C(F)C=C1F)C(C)(C)C,TRUE
8669,CHEMBL8809,CCN1CCC[C@H]1CNC(=O)C1=C(O)C(Cl)=CC(Cl)=C1OC,,,44,CCN1CCC[C@H]1CNC(=O)C1=C(O)C(n)=CC(n)=C1OC,TRUE
8670,CHEMBL304383,CNCC(O)=O,,,9,CNCC(O)=O,TRUE
8671,CHEMBL12543,CN1CCCC1=O,,,10,CN1CCCC1=O,TRUE
8672,CHEMBL3301609,CN1CCC(CCCNC2=NC=C(C3=NC4=C(C)C=C(C)C=C4N3)C(C)=N2)CC1,,,54,CN1CCC(CCCNC2=NC=C(C3=NC4=C(C)C=C(C)C=C4N3)C(C)=N2)CC1,TRUE
8673,CHEMBL94454,CN(C1CCN(CC1)C1=NC2=C(C=CC=C2)N1CC1=CC=C(F)C=C1)C1=NC=CC(=O)N1,,,62,CN(C1CCN(CC1)C1=NC2=C(C=CC=C2)N1CC1=CC=C(F)C=C1)C1=NC=CC(=O)N1,TRUE
8676,CHEMBL238465,ClC1=C(Cl)N=CC(=C1)N1C[C@@H]2CN[C@@H]2C1,,,40,nC1=C(n)N=CC(=C1)N1C[C$H]2CN[C$H]2C1,TRUE
8679,CHEMBL23550,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)[C@H]2CO)C(=O)N1,,,48,NC1=NC2=C(N=CN2[C$H]2C[C@H](CO)[C@H]2CO)C(=O)N1,TRUE
8681,CHEMBL1182714,CNCCCOC1=CC(F)=C(C(F)=C1)C1=C(N[C@@H](C)C(F)(F)F)N2N=CN=C2N=C1Cl,,,64,CNCCCOC1=CC(F)=C(C(F)=C1)C1=C(N[C$H](C)C(F)(F)F)N2N=CN=C2N=C1n,TRUE
8682,CHEMBL3545241,CC1=CC(NC2=NC(=NC3=CC=CC=C23)C(O)C2=CC=C(F)C=C2)=NN1,,,52,CC1=CC(NC2=NC(=NC3=CC=CC=C23)C(O)C2=CC=C(F)C=C2)=NN1,TRUE
8684,CHEMBL4297264,N1N=CC=CC2=CC=CC=C12,,,20,N1N=CC=CC2=CC=CC=C12,TRUE
8686,CHEMBL178459,CC1=C(SSC1=S)C1=CN=CC=N1,,,24,CC1=C(SSC1=S)C1=CN=CC=N1,TRUE
8687,CHEMBL372205,C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,,,71,C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,TRUE
8690,CHEMBL426084,NC(=O)C1=CC=C2C[C@H]3N(CC4CC4)CC[C@@]4(CC(=O)CC[C@@]34O)C2=C1O,,,62,NC(=O)C1=CC=C2C[C@H]3N(CC4CC4)CC[C$]4(CC(=O)CC[C$]34O)C2=C1O,TRUE
8691,CHEMBL1765292,CCC(C(O)=O)C1=CC=C(C=C1)N1CC2=CC=CC=C2C1=O,,,42,CCC(C(O)=O)C1=CC=C(C=C1)N1CC2=CC=CC=C2C1=O,TRUE
8692,CHEMBL2396989,NC1=N[C@]2(COC[C@H]2CS1)C1=C(F)C=CC(NC(=O)C2=CC=C(F)C=N2)=C1,,,60,NC1=N[C@]2(COC[C@H]2CS1)C1=C(F)C=CC(NC(=O)C2=CC=C(F)C=N2)=C1,TRUE
8694,CHEMBL118841,COC1=CC=C2NC3=C4C(=CC=C3[N+]([O-])=O)N(CCCN(C)C)N=C4C2=C1,,,57,COC1=CC=C2NC3=C4C(=CC=C3[N+]([O-])=O)N(CCCN(C)C)N=C4C2=C1,TRUE
8696,CHEMBL10316,C1CN=C(N1)C1COC2=CC=CC=C2O1,,,27,C1CN=C(N1)C1COC2=CC=CC=C2O1,TRUE
8697,CHEMBL1201390,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](C[C@H](F)C4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,,,93,C[C@]12C[C@H](O)[C$]3(F)[C$H](C[C@H](F)C4=CC(=O)C=C[C@]34C)[C$H]1C[C$H](O)[C@]2(O)C(=O)CO,TRUE
8699,CHEMBL598172,COC1=CC=C(NC(=O)NC2=CC=C(F)C=C2F)C=C1C1=C(Br)C=NN1C,,,51,COC1=CC=C(NC(=O)NC2=CC=C(F)C=C2F)C=C1C1=C(j)C=NN1C,TRUE
8701,CHEMBL3545278,CCCCCS(=O)(=O)NC(=O)C1=CC=C2N=C(C)N(CC3=CC=C(Cl)C=C3Cl)C2=C1,,,60,CCCCCS(=O)(=O)NC(=O)C1=CC=C2N=C(C)N(CC3=CC=C(n)C=C3n)C2=C1,TRUE
8702,CHEMBL587723,CCN1CCN(CC2=CC=C(C=C2)C2=CC3=C(N2)N=CN=C3N[C@H](C)C2=CC=CC=C2)CC1,,,65,CCN1CCN(CC2=CC=C(C=C2)C2=CC3=C(N2)N=CN=C3N[C@H](C)C2=CC=CC=C2)CC1,TRUE
8704,CHEMBL3188386,CC1=CC(=CC=N1)C1=NC=C(CC(=O)NC2=CC=C(C=N2)C2=CN=CC=N2)C=C1C,,,59,CC1=CC(=CC=N1)C1=NC=C(CC(=O)NC2=CC=C(C=N2)C2=CN=CC=N2)C=C1C,TRUE
8705,CHEMBL2386081,OC(=O)CN1C2=C(CN(CC2)C(=O)C2=CC=CC3=CC=CC=C23)C2=CC(F)=CC=C12,,,61,OC(=O)CN1C2=C(CN(CC2)C(=O)C2=CC=CC3=CC=CC=C23)C2=CC(F)=CC=C12,TRUE
8706,CHEMBL232943,COC(=O)C1=C(Cl)C=CC=C1C1=CC=C([C@@H](C)NC(=O)C2(CC2)NC(=O)C(F)(F)F)C(F)=C1,,,74,COC(=O)C1=C(n)C=CC=C1C1=CC=C([C$H](C)NC(=O)C2(CC2)NC(=O)C(F)(F)F)C(F)=C1,TRUE
8708,CHEMBL2103863,CN(C)CC1=C(OC2=CC=CC=C12)C(=O)NCCOC1=CC=C(C=C1)C(=O)NO,,,54,CN(C)CC1=C(OC2=CC=CC=C12)C(=O)NCCOC1=CC=C(C=C1)C(=O)NO,TRUE
8709,CHEMBL3039513,CC[C@@](C)(NC1=CC=NC(=N1)C1=CNC2=NC=CC=C12)C(=O)NCC(F)(F)F,,,58,CC[C$](C)(NC1=CC=NC(=N1)C1=CNC2=NC=CC=C12)C(=O)NCC(F)(F)F,TRUE
8710,CHEMBL489095,C[C@H]1CN(CC2=CC=C(CC(=O)N3CCC(CC3)NC3=CC=CC(F)=C3)C=C2)CCN1,,,60,C[C@H]1CN(CC2=CC=C(CC(=O)N3CCC(CC3)NC3=CC=CC(F)=C3)C=C2)CCN1,TRUE
8711,CHEMBL414157,CCCN1C2=C(NC(=N2)C23CCC(CCC(O)=O)(CC2)CC3)C(=O)N(CCC)C1=O,,,57,CCCN1C2=C(NC(=N2)C23CCC(CCC(O)=O)(CC2)CC3)C(=O)N(CCC)C1=O,TRUE
8712,CHEMBL3586404,CO[C@H]1CC[C@@H](CC1)N1C(=O)CNC2=C1N=C(C=N2)C1=CN=C(C=C1)C(C)(C)O,,,65,CO[C@H]1CC[C$H](CC1)N1C(=O)CNC2=C1N=C(C=N2)C1=CN=C(C=C1)C(C)(C)O,TRUE
8713,CHEMBL2107772,[H][C@@](C)(C1=NOC(NC(=N)N2CCOCC2)=C1)C1=CC=C(C(F)=C1)C1=CC=CC=C1,,,65,[H][C$](C)(C1=NOC(NC(=N)N2CCOCC2)=C1)C1=CC=C(C(F)=C1)C1=CC=CC=C1,TRUE
8714,CHEMBL482950,CC[C@@H](C)NC1=NC(C)=NC2=C(C(C)=NN12)C1=CC=C(OC)N=C1C,,,53,CC[C$H](C)NC1=NC(C)=NC2=C(C(C)=NN12)C1=CC=C(OC)N=C1C,TRUE
8715,CHEMBL3542265,CC(C)OC(=O)N[C@@H]1CC2=C(C1)C1=CC(=CC=C1N2CC1=CC=CC=N1)C#N,,,58,CC(C)OC(=O)N[C$H]1CC2=C(C1)C1=CC(=CC=C1N2CC1=CC=CC=N1)C#N,TRUE
8716,CHEMBL307177,ClC1=C(Cl)C=C(NC(=O)NS(=O)(=O)C2=CC=C3OCCC3=C2)C=C1,,,51,nC1=C(n)C=C(NC(=O)NS(=O)(=O)C2=CC=C3OCCC3=C2)C=C1,TRUE
8720,CHEMBL3234237,FC1=C(F)C=C(CN2CCC(CC2)NC2=CC=C(N=N2)C(F)(F)F)C=C1,,,50,FC1=C(F)C=C(CN2CCC(CC2)NC2=CC=C(N=N2)C(F)(F)F)C=C1,TRUE
8723,CHEMBL43185,O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1,,,40,O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1,TRUE
8724,CHEMBL2103878,NC(=O)C1=CC=C(OC2=C(F)C=C(CNCCC3CCOCC3)C=C2)N=C1,,,48,NC(=O)C1=CC=C(OC2=C(F)C=C(CNCCC3CCOCC3)C=C2)N=C1,TRUE
8726,CHEMBL1256722,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(SC3=NC(=CS3)C3=C[C@H](C)NC3)=C(N2C1=O)C(O)=O,,,78,C[C$H](O)[C$H]1[C@H]2[C$H](C)C(SC3=NC(=CS3)C3=C[C@H](C)NC3)=C(N2C1=O)C(O)=O,TRUE
8727,CHEMBL1231124,C[C@H](NC1=NC=C(Cl)C(NC2=NNC(C)=C2)=N1)C1=NC=C(F)C=N1,,,53,C[C@H](NC1=NC=C(n)C(NC2=NNC(C)=C2)=N1)C1=NC=C(F)C=N1,TRUE
8728,CHEMBL262075,CN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C(=O)C1=CC=CS1,,,56,CN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C(=O)C1=CC=CS1,TRUE
8729,CHEMBL3545215,CCN1C(=CC2=C3N(C)C=NC3=C(NC3=NN(C)C(C)=C3)N=C12)C(=O)N(C1CC1)C1CC1,,,66,CCN1C(=CC2=C3N(C)C=NC3=C(NC3=NN(C)C(C)=C3)N=C12)C(=O)N(C1CC1)C1CC1,TRUE
8731,CHEMBL73822,CN1C(\C=C\CO)=C(CO)C2=C1C(=O)C=C(N1CC1)C2=O,,,43,CN1C(\C=C\CO)=C(CO)C2=C1C(=O)C=C(N1CC1)C2=O,TRUE
8732,CHEMBL3545108,OCCCNCCCC1=CC(C(=O)NCC23CC4CC(CC(C4)C2)C3)=C(Cl)C=C1,,,52,OCCCNCCCC1=CC(C(=O)NCC23CC4CC(CC(C4)C2)C3)=C(n)C=C1,TRUE
